,kd_b,kd_f,kon_a,kon_p,kon_p_2,mse,ra,rp
0,0.4951996843413577,3.251978392974934,0.003898386140506049,0.0026289708072152872,0.31858649281525425,0.0,0.016675311655891954,0.00919095833597073
1,5.881705934291372,0.036418572399162775,0.002574154130057841,0.03366474116283699,0.33512378562259276,0.0,0.0051683757301147805,0.009030507284377976
2,0.043037566120656706,0.017927191706087975,0.00886540567977433,0.003930039398233951,0.8757670070905009,0.0,0.004478248478155181,0.19642124393712662
3,0.3183392100623303,0.038224249179322524,0.025177001369430067,0.01633771422540975,1.4128113613140643,0.0,0.9985446956735792,0.016150588314010658
4,0.0545778388907115,0.5254031154110987,0.002585801340168356,0.0010447243437984503,0.052124969657216975,0.0,0.10244002549202959,0.0006766506822748105
5,5.714733048437414,0.4615737529754872,0.0446859484526404,0.003213992858233225,8.32038040733915,0.0,0.002332114197708548,0.0004423613496224671
6,0.9556436394624666,0.24924721834770946,0.0076341201601185325,0.000255269283660659,9.48209711293346,0.0,0.735913419244094,0.7247640259806246
7,1.6721637339419788,1.5452541238382949,0.007299342758983188,0.010654440923577053,1.4847105537587084,0.0,0.006912990001894209,0.4589023823919713
8,0.021031803696488324,0.02440032884323716,0.004769361650155898,0.0057529592178204875,0.2758842571711646,0.0,0.7078572885694046,0.024835601144357383
9,0.028320903673979558,0.15147874820092508,0.02667039940620203,0.06255172279519591,0.12848418438122272,0.0,0.3836435312122412,0.0006612741198480634
10,0.08679477614195667,0.013576468512186116,0.003667460131964014,0.03359725791614191,0.01409084299876535,0.0,0.7939554671497762,0.008068656059516203
11,6.763537339988991,0.029870733195975958,0.005113853344616565,0.003887158409082449,0.060244905055637295,0.0,0.004448889982121452,0.021873536337149186
12,0.02062779358830453,0.14502347832344767,0.0010172871274383183,0.007909352310658764,4.666162991547347,0.0,0.0001153620225945715,0.012141238063845412
13,0.011048457006204016,7.384832221109324,0.012253827724536375,0.09136159747106964,0.05461650081727261,0.0,0.0018136636102048518,0.012500932436670322
14,4.597082919749654,0.28318319719025276,0.0353478692678553,0.0001362828583634476,1.8768132885490707,0.0,0.00021334767360744084,0.00015543573822099995
15,0.5385165113446864,0.43145739105997727,0.0033303220500562575,0.00018846938680804108,4.090810947400567,0.0,0.00014468871132207082,0.00011991716081104838
16,1.1921222981766217,0.029334959001951554,0.005635838060471343,0.0286682599416324,0.3005988586366889,0.0,0.020250379767038987,0.0003043231480009354
17,0.07098324046922476,0.08570256282829128,0.010396870067295607,0.05047844060746763,0.04819104019254799,0.0,0.004857561304969652,0.004385444002677702
18,0.43327659481878844,0.012692915183737826,0.027199478050146306,0.02718539666792062,0.6192398523063255,0.0,0.004431794515309303,0.00017080431901828766
19,4.229269253241124,0.876505032353699,0.03303580618344186,0.011924261655373193,0.6464154163838578,0.0,0.031978387226296,0.001168429141914604
20,0.2522908134916777,6.363185474055284,0.004115077550092715,0.01845253165925782,2.624054669537543,0.0,0.00015050934742320693,0.02322192556903688
21,0.4206430425033425,0.030408187319702244,0.03487762026968652,0.07142904966506348,7.1518372445520715,0.0,0.22410576245110153,0.0011418582366426685
22,1.8960877337607933,0.20106038327946985,0.09693235930738486,0.0012090473254697078,1.513976271013619,0.0,0.0011090713985201378,0.0007793075401396735
23,2.7531190448253087,0.20641844585376543,0.007283905671688391,0.0002914925382917816,0.17892923421223478,0.0,0.0001886826141112039,0.00017793873979499595
24,4.049341830613351,0.5692799447828113,0.009826255544834408,0.0007070435528530172,0.993833456519706,0.0,0.06397444580499685,0.13660395868092534
25,1.7174044719750308,4.0599716605540035,0.02300362289124322,0.0022023273513222734,1.855055021360214,0.0,0.01956824300731875,0.0001534891746101532
26,0.09447254074474223,3.5137715749578895,0.09372255199684064,0.0022453401651296233,1.7517262879097533,0.0,0.8115268614066069,0.18923841607026576
27,0.6251934345585332,0.7877929152601527,0.006466514674105298,0.0014622852828903713,2.311695647249491,0.0,0.00038985184995296617,0.018491538828443888
28,0.06896512892993131,0.1279013252138904,0.033846642051840126,0.032083841487043165,4.597933819042613,0.0,0.0010679203126707547,0.20387963727368286
29,0.34957619394837525,0.124318567196195,0.06880991004518201,0.09968042565835909,0.41611998725929655,0.0,0.04710846671300935,0.007749924832273431
30,0.01867175251767949,0.05363370542093776,0.0023650210561394595,0.06899917160548903,0.011439292532937361,0.0,0.8063966640309262,0.005140089665102908
31,8.796122986943317,1.504395053283274,0.048938629536394954,0.0019455061157156524,1.6582187005858124,0.0,0.004171464093785827,0.0005868572720863334
